Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season
F1,25/09/10,00:00,Lyon,St Etienne,0.0,1.0,A,0.0,0.0,D,28.0,5.0,4.0,2.0,12.0,2.0,11.0,21.0,3.0,4.0,1.0,0.0,
F1,25/09/10,00:00,Marseille,Sochaux,2.0,1.0,H,1.0,0.0,H,25.0,8.0,5.0,2.0,9.0,2.0,15.0,17.0,0.0,2.0,0.0,0.0,
F1,25/09/10,00:00,Montpellier,Arles,3.0,1.0,H,1.0,0.0,H,13.0,15.0,4.0,4.0,5.0,4.0,22.0,24.0,2.0,5.0,1.0,0.0,
F1,25/09/10,00:00,Nice,Rennes,1.0,2.0,A,1.0,1.0,D,8.0,10.0,3.0,5.0,2.0,4.0,15.0,20.0,2.0,3.0,0.0,0.0,
F1,26/09/10,00:00,Brest,Valenciennes,1.0,0.0,H,0.0,0.0,D,13.0,6.0,5.0,3.0,7.0,4.0,13.0,20.0,0.0,3.0,0.0,0.0,
F1,26/09/10,00:00,Lens,Paris SG,0.0,2.0,A,0.0,0.0,D,14.0,20.0,3.0,6.0,4.0,7.0,18.0,19.0,0.0,3.0,0.0,0.0,
F1,26/09/10,00:00,Toulouse,Lille,1.0,1.0,D,0.0,1.0,A,14.0,6.0,6.0,2.0,3.0,0.0,22.0,10.0,3.0,3.0,0.0,0.0,
F1,02/10/10,00:00,Arles,Auxerre,0.0,4.0,A,0.0,2.0,A,8.0,14.0,0.0,8.0,5.0,0.0,16.0,18.0,1.0,0.0,0.0,0.0,
F1,02/10/10,00:00,Bordeaux,Lorient,1.0,0.0,H,1.0,0.0,H,10.0,7.0,2.0,3.0,6.0,8.0,22.0,15.0,1.0,3.0,0.0,0.0,
F1,02/10/10,00:00,Monaco,Brest,0.0,1.0,A,0.0,0.0,D,13.0,10.0,7.0,2.0,8.0,5.0,18.0,10.0,2.0,1.0,0.0,0.0,
F1,02/10/10,00:00,Nancy,Lyon,2.0,3.0,A,0.0,1.0,A,19.0,8.0,6.0,3.0,6.0,3.0,20.0,21.0,1.0,3.0,0.0,0.0,
F1,02/10/10,00:00,Sochaux,Lens,3.0,0.0,H,2.0,0.0,H,11.0,12.0,7.0,5.0,3.0,5.0,16.0,13.0,1.0,3.0,0.0,0.0,
F1,02/10/10,00:00,St Etienne,Marseille,1.0,1.0,D,0.0,1.0,A,18.0,13.0,8.0,3.0,9.0,4.0,12.0,10.0,1.0,1.0,0.0,0.0,
F1,02/10/10,00:00,Valenciennes,Caen,2.0,1.0,H,2.0,0.0,H,14.0,7.0,4.0,1.0,5.0,3.0,22.0,10.0,2.0,3.0,0.0,0.0,
F1,03/10/10,00:00,Lille,Montpellier,3.0,1.0,H,2.0,1.0,H,11.0,15.0,6.0,6.0,3.0,3.0,14.0,18.0,1.0,0.0,0.0,0.0,
F1,03/10/10,00:00,Paris SG,Nice,0.0,0.0,D,0.0,0.0,D,19.0,11.0,6.0,2.0,12.0,3.0,10.0,10.0,1.0,4.0,0.0,0.0,
F1,03/10/10,00:00,Rennes,Toulouse,3.0,1.0,H,1.0,0.0,H,14.0,15.0,7.0,2.0,3.0,4.0,9.0,15.0,0.0,1.0,0.0,0.0,
F1,16/10/10,00:00,Auxerre,Bordeaux,0.0,1.0,A,0.0,1.0,A,15.0,9.0,2.0,4.0,8.0,8.0,16.0,18.0,1.0,2.0,0.0,1.0,
F1,16/10/10,00:00,Brest,Arles,0.0,0.0,D,0.0,0.0,D,11.0,8.0,1.0,1.0,5.0,1.0,17.0,19.0,0.0,0.0,0.0,0.0,
F1,16/10/10,00:00,Caen,Monaco,0.0,0.0,D,0.0,0.0,D,10.0,15.0,2.0,6.0,7.0,7.0,14.0,17.0,2.0,2.0,0.0,0.0,
F1,16/10/10,00:00,Marseille,Nancy,1.0,0.0,H,1.0,0.0,H,14.0,7.0,4.0,2.0,13.0,3.0,17.0,17.0,1.0,1.0,0.0,0.0,
F1,16/10/10,00:00,Montpellier,Sochaux,2.0,0.0,H,2.0,0.0,H,14.0,5.0,6.0,1.0,5.0,3.0,18.0,16.0,0.0,4.0,0.0,0.0,
F1,16/10/10,00:00,Toulouse,Paris SG,0.0,2.0,A,0.0,1.0,A,6.0,13.0,4.0,7.0,6.0,4.0,19.0,14.0,2.0,1.0,0.0,0.0,
F1,17/10/10,00:00,Lens,Rennes,0.0,0.0,D,0.0,0.0,D,12.0,10.0,4.0,4.0,2.0,3.0,21.0,24.0,2.0,1.0,0.0,1.0,
F1,17/10/10,00:00,Lorient,Valenciennes,2.0,1.0,H,2.0,1.0,H,15.0,14.0,6.0,5.0,3.0,4.0,14.0,18.0,1.0,3.0,0.0,0.0,
F1,17/10/10,00:00,Lyon,Lille,3.0,1.0,H,2.0,0.0,H,16.0,20.0,9.0,9.0,4.0,3.0,19.0,11.0,0.0,2.0,1.0,0.0,
F1,17/10/10,00:00,Nice,St Etienne,2.0,1.0,H,0.0,1.0,A,18.0,8.0,7.0,2.0,8.0,2.0,8.0,15.0,2.0,5.0,0.0,1.0,
F1,23/10/10,00:00,Bordeaux,Brest,0.0,2.0,A,0.0,1.0,A,20.0,11.0,7.0,6.0,11.0,8.0,10.0,15.0,2.0,2.0,0.0,0.0,
F1,23/10/10,00:00,Lens,Nice,1.0,0.0,H,0.0,0.0,D,21.0,10.0,2.0,3.0,4.0,4.0,9.0,13.0,2.0,2.0,0.0,0.0,
F1,23/10/10,00:00,Monaco,Valenciennes,0.0,2.0,A,0.0,1.0,A,12.0,13.0,3.0,4.0,7.0,4.0,25.0,17.0,2.0,2.0,0.0,0.0,
F1,23/10/10,00:00,Nancy,Lorient,1.0,0.0,H,1.0,0.0,H,16.0,13.0,5.0,4.0,11.0,5.0,20.0,20.0,1.0,2.0,0.0,1.0,
F1,23/10/10,00:00,Rennes,Montpellier,0.0,1.0,A,0.0,1.0,A,12.0,11.0,5.0,2.0,6.0,1.0,17.0,18.0,2.0,3.0,1.0,1.0,
F1,23/10/10,00:00,Sochaux,Toulouse,1.0,3.0,A,0.0,0.0,D,8.0,12.0,4.0,8.0,1.0,9.0,15.0,14.0,1.0,1.0,0.0,0.0,
F1,23/10/10,00:00,St Etienne,Caen,1.0,1.0,D,0.0,1.0,A,26.0,7.0,5.0,2.0,5.0,6.0,14.0,16.0,1.0,3.0,0.0,0.0,
F1,24/10/10,00:00,Arles,Lyon,1.0,1.0,D,1.0,0.0,H,8.0,10.0,2.0,5.0,2.0,6.0,13.0,14.0,1.0,2.0,0.0,0.0,
F1,24/10/10,00:00,Lille,Marseille,1.0,3.0,A,1.0,0.0,H,14.0,9.0,7.0,7.0,7.0,4.0,15.0,19.0,2.0,3.0,0.0,0.0,
F1,24/10/10,00:00,Paris SG,Auxerre,2.0,3.0,A,1.0,3.0,A,14.0,8.0,7.0,4.0,5.0,3.0,19.0,14.0,1.0,2.0,0.0,0.0,
F1,30/10/10,00:00,Auxerre,Nice,2.0,0.0,H,1.0,0.0,H,16.0,19.0,7.0,4.0,0.0,4.0,9.0,12.0,1.0,2.0,0.0,0.0,
F1,30/10/10,00:00,Brest,St Etienne,2.0,0.0,H,0.0,0.0,D,14.0,14.0,5.0,1.0,1.0,4.0,16.0,9.0,1.0,0.0,0.0,0.0,
F1,30/10/10,00:00,Caen,Nancy,2.0,3.0,A,1.0,2.0,A,13.0,14.0,3.0,6.0,5.0,3.0,28.0,20.0,3.0,4.0,0.0,0.0,
F1,30/10/10,00:00,Lorient,Arles,2.0,0.0,H,0.0,0.0,D,16.0,7.0,5.0,1.0,7.0,1.0,13.0,16.0,1.0,1.0,0.0,0.0,
F1,30/10/10,00:00,Lyon,Sochaux,2.0,1.0,H,1.0,0.0,H,16.0,7.0,3.0,4.0,8.0,3.0,10.0,17.0,1.0,2.0,0.0,0.0,
F1,30/10/10,00:00,Toulouse,Lens,1.0,1.0,D,1.0,1.0,D,5.0,9.0,2.0,2.0,4.0,2.0,19.0,17.0,1.0,1.0,0.0,0.0,
