Season,Team,Rank,Points,Strength_Rank_Based,Pythagorean_Exp,Avg_Goals_Scored,Avg_Goals_Conceded,Home_Dependency
2014-2015,Bastia,12,47,0.4285714285714286,0.3928263988522238,0.9736842105263158,1.2105263157894737,0.6595744680851063
2014-2015,Caen,13,46,0.38095238095238093,0.4908264601918869,1.4210526315789473,1.4473684210526316,0.5217391304347826
2014-2015,Nantes,14,45,0.33333333333333337,0.3445309299467431,0.7631578947368421,1.0526315789473684,0.6222222222222222
2014-2015,Reims,15,44,0.2857142857142857,0.3364813404417365,1.236842105263158,1.736842105263158,0.6136363636363636
2014-2015,Lorient,16,43,0.23809523809523814,0.436429215509468,1.1578947368421053,1.3157894736842106,0.5348837209302325
2014-2015,Toulouse,17,42,0.19047619047619047,0.3110176619007569,1.131578947368421,1.6842105263157894,0.7142857142857143
2014-2015,Evian Thonon Gaillard,18,37,0.1428571428571429,0.30425339366515836,1.0789473684210527,1.631578947368421,0.6216216216216216
2014-2015,Metz,19,30,0.09523809523809523,0.2052541648868005,0.8157894736842105,1.605263157894737,0.7333333333333333
2014-2015,Lens,20,29,0.04761904761904767,0.21580611169652267,0.8421052631578947,1.605263157894737,0.6551724137931034
2015-2016,Paris SG,1,96,0.9523809523809523,0.9664653971202972,2.6842105263157894,0.5,0.5
2015-2016,Lyon,2,65,0.9047619047619048,0.7082675923004103,1.763157894736842,1.131578947368421,0.6153846153846154
2015-2016,Monaco,3,65,0.8571428571428572,0.5651417637850061,1.5,1.3157894736842106,0.5538461538461539
2015-2016,Nice,4,63,0.8095238095238095,0.666798810703667,1.5263157894736843,1.0789473684210527,0.6031746031746031
2015-2016,Lille,5,60,0.7619047619047619,0.676,1.0263157894736843,0.7105263157894737,0.55
2015-2016,St Etienne,6,58,0.7142857142857143,0.5630386211299074,1.105263157894737,0.9736842105263158,0.5862068965517241
2015-2016,Caen,7,54,0.6666666666666667,0.36,1.0263157894736843,1.368421052631579,0.5555555555555556
2015-2016,Rennes,8,52,0.6190476190476191,0.4811387900355872,1.368421052631579,1.4210526315789473,0.4807692307692308
2015-2016,Angers,9,50,0.5714285714285714,0.5256241787122208,1.0526315789473684,1.0,0.52
2015-2016,Bastia,10,50,0.5238095238095238,0.4235294117647059,0.9473684210526315,1.105263157894737,0.7
2015-2016,Bordeaux,11,50,0.47619047619047616,0.4348582362149939,1.3157894736842106,1.5,0.62
2015-2016,Montpellier,12,49,0.4285714285714286,0.520824295010846,1.2894736842105263,1.236842105263158,0.5510204081632653
2015-2016,Marseille,13,48,0.38095238095238093,0.5663716814159292,1.263157894736842,1.105263157894737,0.4166666666666667
2015-2016,Nantes,14,48,0.33333333333333337,0.36,0.868421052631579,1.1578947368421053,0.6041666666666666
2015-2016,Lorient,15,46,0.2857142857142857,0.3963753813027095,1.236842105263158,1.5263157894736843,0.6086956521739131
2015-2016,Guingamp,16,44,0.23809523809523814,0.41328344246959775,1.236842105263158,1.4736842105263157,0.5681818181818182
